id,en,es
Right,Right,Derecha
Left,Left,Izquierda
Up,Up,Arriba
Down,Down,Abajo
Jump,Jump,Saltar
Shoot,Shoot,Disparar
NEW_GAME,New game,Nuevo juego
CONTINUE,Continue,Continuar
RESUME,Resume,Reanudar
RESTART,Restart,Reiniciar
OPTIONS,Options,Opciones
MAIN_MENU,Main Menu,Menú principal
BACK,Back,Atrás
EXIT,Exit,Salir
PAUSE,Pause,Pausa
LOADING,Loading,Cargando
RESOLUTION,Resolution,Resolución
FULLSCREEN,Fullscreen window,Pantalla completa
BORDERLESS,Borderless window,Pantalla sin bordes
SCALE,Scale,Escalado
VOLUME,Volume,Volumen
MASTER,Master,General
MUSIC,Music,Música
SFX,Sounds,Efectos de Sonido
CONTROLS,Controls,Controles
ACTIONS,Actions,Acciones
KEYBOARD,Keyboard,Teclado
GAMEPAD,Gamepad,Gamepad
DEFAULT,Default,Defecto
USE_NEW_CONTROLS,Use new control!,Usar nuevos controles!
CANCEL,Cancel,Cancelar
LANGUAGES,Languages,Idiomas
TUTORIAL1,"Hi! You are <ROBOT NAME> and\nyou are on the Moon.","Hola! Tu nombre es <NOMBRE_ROBOT> y\nte encuentras en la Luna".
TUTORIAL2,"Some crazy shit is happening\non Earth, you know?","Estan sucediendo cosas muy\nraras en la Tierra, lo sabías?"
TUTORIAL3,"You've been brought here with an objective.","Has venido aqui con un objetivo."
TUTORIAL4,"We count our salvation on you, metallic friend.","Contamos contigo para nuestra salvación,\namigo metálico."
TUTORIAL5,"Just terraform the Moon.\nEasy peasy.","Solo tienes que terraformar la Luna.\nFacilito."
TUTORIAL6,"Everything you need to know is in your notebook.\nPress 'N' for reading it.","Todo lo que tienes que saber se encuentra\nen tu libreta. Presiona 'N' para leerla."
TUTORIAL7,"...","..."
TUTORIAL8,"Anyway, do it ASAP.","Como te decía, hazlo cuanto antes."
TUTORIAL9,"Bye-bye, butterfly!","Hasta lueguito!"
NOTEBOOK1,"             - Notebook -\nThis is a notebook with all the\nhelp you need to accomplish your\nsacred purpose. \n\nPress 'R' to read the next page,\nor press 'N' to show/hide this\nnotebook.\n\n                                     Page 1/9","             - Libreta -\nEsta es una libreta con toda la\nayuda necesaria para cumplir tu\nnoble objetivo. \n\nPresiona 'R' para leer la siguiente\npágina, o presiona 'N' para\nmostrar/esconder la libreta.\n\n                                  Página 1/9"
NOTEBOOK2,"              - Target - \nTerraform this ground by building\nmachines. Each machine have a\ncost: you need to spend your\nown resources, although each\nmachine gives you periodical\namounts of them.\nKeep an eye on how you spend\nyour resources!\n                                     Page 2/9","              - Objetivo - \nTerraforma la tierra\nconstruyendo máquinas. Cada\nmáquina tiene un costo:\nnecesitas gastar tus recursos,\naunque cada máquina te dará\ncantidades periodicas de los\nmismos. Cuidado en cómo gastas\ntus recursos!\n                                  Página 2/9"
NOTEBOOK3,"        - Building Machines -\nChoose the machine you want to\nbuild by pressing the correct\nkey (in next pages). Then,\nplace the machine where you\nwant to. To finish the building\nprocess, go near your new machine\nand press 'E'.\n\n                                     Page 3/9","      - Construyendo máquinas -\nElige la máquina a construir\npresionando la tecla\ncorrespondiente (próximas\npáginas). Luego, posiciona la\nmáquina dónde quieras. Para\ncompletar el proceso, acercate\na la nueva máquina y presiona 'E'.\n\n                                  Página 3/9"
NOTEBOOK4,"====> Power Machine\n=> Requires\n  30 units of mineral\n=> Produces\n  1 unit per sec of power\n=> Build key\n  '1'\n\n\n                                     Page 4/9","====> Máquina de Electricidad\n=> Requiere\n  30 unidades de mineral\n=> Produce\n  1 unidad por seg. de electrididad\n=> Tecla\n  '1'\n\n\n                                  Página 4/9"
NOTEBOOK5,"====> Mineral Machine\n=> Requires\n  20 units of mineral\n  1 unit per sec of power\n=> Produces\n  1 unit per sec of mineral\n=> Build key\n  '2'\n\n                                     Page 5/9","====> Máquina de Mineral\n=> Requiere\n  20 unidades de mineral\n  1 unidad por seg. de electricidad\n=> Produce\n  1 por seg. de mineral\n=> Tecla\n  '2'\n\n                                  Página 5/9"
NOTEBOOK6,"====> Water Machine\n=> Requires\n  50 units of mineral\n  5 unit per sec of power\n  1 unit per sec of mineral\n=> Produces\n  1 unit per sec of water\n=> Build key\n  '3'\n                                     Page 6/9","====> Máquina de Agua\n=> Requiere\n  50 unidades de mineral\n  5 unidades por seg. de\n                   electricidad\n  1 unidad por seg. de mineral\n=> Produce\n  1 unidad por seg. de agua\n=> Tecla\n  '3'                              Página 6/9"
NOTEBOOK7,"====> Food Machine\n=> Requires\n  50 units of mineral\n  30 units of water\n  1 unit per sec of power\n=> Produces\n  1 unit per sec of food\n=> Build key\n  '4'\n                                     Page 7/9","====> Máquina de Comida\n=> Requiere\n  50 unidades de mineral\n  30 unidades de agua\n  1 unidad por seg. de electricidad\n=> Produce\n  1 unidad por seg. de comida\n=> Tecla\n  '4'\n                                     Page 7/9"
NOTEBOOK8,"        - Charge yourself -\nWhen building a machine, you give\nit an amount of your one electric\ncharge. Keep an eye in your\ncharge or you will go shuted down.\nYou may need to recharge\nyourself. To do this, just get\nclose to your space ship.\n\n                                     Page 8/9","        - Carga del Robot -\nAl construir máquinas, les\nentregas de tu propia energia.\nAtento a tu carga porque si se\nacaba, te vas a apagar.\n\nSi necesitas recargarte, debes\nacercarte a tu nave espacial.\n\n                                    Página 8/9"
NOTEBOOK9,"           - Resources -\nYour resources, as well as your\ncharge, are being displayed in\nthe top section of the screen.\n\n\n\n\n\n                                     Page 9/9","           - Recursos -\nTus recursos, asi como tu\ncarga, se muestran en la\nsección alta de la pantalla.\n\n\n\n\n\n                                  Página 9/9"
NOTEBOOK10,"\n\n\n\n\n\n\n\n\n             - Notebook -","\n\n\n\n\n\n\n\n\n             - Libreta -"
WIN1,"You've done well, little friend: The Moon\nis being terraformed succesfully","Lo has logrado, pequeño amigo: La Luna\nse está terraformando exitosamente."
WIN2,"Humanity's future is now promising, thanks to you.","El futuro de la humanidad es ahora prometedor,\ngracias a ti."
WIN3,"Now, wait for us.","Ahora, espera por nosotros."
WIN4,"And don't get rusty, please.","Y no te oxides, por favor."
LOS1,"You were our last hope, you piece of rust.","Eras nuestra única esperanza, pedazo de chatarra."
LOS2,"Now we are all condemned to dead...","Ahora estamos todos condenados a la muerte..."
LOS3,"... thanks to you.","... gracias a ti."
CAMERA1,"Moon has been terraformed! Cheers!","La Luna ha sido terraformada! Viva!"
CAMERA2,"Your battery is dead!\nYou were suposed to recharge it...","Tu batería está muerta!\nTendrías que haberla recargado..."
